subscription_id,customer_id,plan_type,monthly_revenue,status,start_date,end_date
SUB-0193,CUST-0193,Basic,29,Cancelled,2025-03-06,2025-08-03
SUB-0194,CUST-0194,Basic,29,Active,2024-11-14,
SUB-0195,CUST-0195,Basic,29,Active,2024-10-30,
SUB-0196,CUST-0196,Pro,99,Active,2024-11-25,
SUB-0197,CUST-0197,Basic,29,Cancelled,2025-03-19,2026-02-12
SUB-0198,CUST-0198,Basic,29,Active,2024-01-26,
SUB-0199,CUST-0199,Pro,99,Cancelled,2024-06-16,2025-02-11
SUB-0200,CUST-0200,Basic,29,Cancelled,2024-06-16,2024-07-16
SUB-0201,CUST-0201,Basic,29,Active,2024-05-22,
SUB-0202,CUST-0202,Basic,29,Cancelled,2025-03-03,2025-09-29
SUB-0203,CUST-0203,Pro,99,Active,2024-01-10,
SUB-0204,CUST-0204,Pro,99,Cancelled,2024-04-24,2024-05-24
SUB-0205,CUST-0205,Basic,29,Active,2025-01-21,
SUB-0206,CUST-0206,Enterprise,299,Cancelled,2024-04-12,2025-02-06
SUB-0207,CUST-0207,Pro,99,Active,2024-05-02,
SUB-0208,CUST-0208,Basic,29,Active,2024-12-08,
SUB-0209,CUST-0209,Basic,29,Active,2024-08-26,
SUB-0210,CUST-0210,Basic,29,Active,2024-03-26,
SUB-0211,CUST-0211,Basic,29,Cancelled,2025-05-08,2025-06-07
SUB-0212,CUST-0212,Enterprise,299,Cancelled,2024-10-23,2025-09-18
SUB-0213,CUST-0213,Enterprise,299,Active,2024-10-21,
SUB-0214,CUST-0214,Basic,29,Active,2025-04-27,
SUB-0215,CUST-0215,Enterprise,299,Active,2024-10-30,
SUB-0216,CUST-0216,Pro,99,Active,2024-12-22,
SUB-0217,CUST-0217,Basic,29,Cancelled,2025-02-11,2025-11-08
SUB-0218,CUST-0218,Basic,29,Active,2024-09-29,
SUB-0219,CUST-0219,Basic,29,Active,2024-02-05,
SUB-0220,CUST-0220,Pro,99,Cancelled,2025-03-10,2026-01-04
SUB-0221,CUST-0221,Basic,29,Active,2024-02-24,
SUB-0222,CUST-0222,Enterprise,299,Active,2024-11-21,
SUB-0223,CUST-0223,Pro,99,Active,2024-08-10,
SUB-0224,CUST-0224,Pro,99,Active,2024-11-11,
SUB-0225,CUST-0225,Pro,99,Active,2024-08-11,
SUB-0226,CUST-0226,Basic,29,Active,2025-03-12,
SUB-0227,CUST-0227,Pro,99,Active,2024-05-22,
SUB-0228,CUST-0228,Basic,29,Active,2025-01-19,
SUB-0229,CUST-0229,Basic,29,Active,2024-06-21,
SUB-0230,CUST-0230,Enterprise,299,Active,2025-03-11,
SUB-0231,CUST-0231,Pro,99,Cancelled,2024-09-06,2025-07-03
SUB-0232,CUST-0232,Basic,29,Active,2025-02-12,
SUB-0233,CUST-0233,Basic,29,Active,2024-05-23,
SUB-0234,CUST-0234,Pro,99,Active,2024-09-21,
SUB-0235,CUST-0235,Pro,99,Cancelled,2024-05-03,2024-08-01
SUB-0236,CUST-0236,Pro,99,Cancelled,2024-10-11,2025-06-08
SUB-0237,CUST-0237,Basic,29,Active,2024-11-26,
SUB-0238,CUST-0238,Basic,29,Active,2025-02-09,
SUB-0239,CUST-0239,Enterprise,299,Active,2024-05-30,
SUB-0240,CUST-0240,Enterprise,299,Active,2024-12-20,
SUB-0241,CUST-0241,Basic,29,Cancelled,2024-12-05,2025-09-01
SUB-0242,CUST-0242,Basic,29,Active,2024-10-10,
SUB-0243,CUST-0243,Basic,29,Active,2025-01-16,
SUB-0244,CUST-0244,Basic,29,Active,2024-12-25,
SUB-0245,CUST-0245,Basic,29,Active,2024-06-05,
SUB-0246,CUST-0246,Pro,99,Active,2024-03-02,
SUB-0247,CUST-0247,Pro,99,Active,2024-03-02,
SUB-0248,CUST-0248,Basic,29,Active,2024-04-20,
SUB-0249,CUST-0249,Basic,29,Cancelled,2025-01-05,2025-02-04
SUB-0250,CUST-0250,Basic,29,Cancelled,2025-03-02,2025-04-01
SUB-0251,CUST-0251,Basic,29,Cancelled,2024-04-26,2025-03-22
SUB-0252,CUST-0252,Basic,29,Cancelled,2024-06-03,2024-12-30
SUB-0253,CUST-0253,Pro,99,Active,2024-05-20,
SUB-0254,CUST-0254,Pro,99,Active,2024-10-10,
SUB-0255,CUST-0255,Pro,99,Active,2024-11-22,
SUB-0256,CUST-0256,Pro,99,Cancelled,2025-03-22,2025-10-18
SUB-0257,CUST-0257,Pro,99,Cancelled,2024-08-28,2025-07-24
SUB-0258,CUST-0258,Basic,29,Cancelled,2024-06-23,2025-03-20
SUB-0259,CUST-0259,Basic,29,Active,2024-05-09,
SUB-0260,CUST-0260,Basic,29,Active,2025-02-24,
SUB-0261,CUST-0261,Pro,99,Cancelled,2024-09-08,2025-04-06
SUB-0262,CUST-0262,Basic,29,Active,2024-03-18,
SUB-0263,CUST-0263,Pro,99,Active,2024-02-13,
SUB-0264,CUST-0264,Basic,29,Cancelled,2024-10-12,2025-10-07
SUB-0265,CUST-0265,Pro,99,Active,2025-02-01,
SUB-0266,CUST-0266,Enterprise,299,Active,2025-04-10,
SUB-0267,CUST-0267,Basic,29,Active,2025-03-16,
SUB-0268,CUST-0268,Pro,99,Active,2024-10-18,
SUB-0269,CUST-0269,Enterprise,299,Cancelled,2025-04-30,2025-12-26
SUB-0270,CUST-0270,Basic,29,Active,2024-05-15,
SUB-0271,CUST-0271,Basic,29,Active,2024-05-02,
SUB-0272,CUST-0272,Basic,29,Active,2024-03-21,
SUB-0273,CUST-0273,Basic,29,Active,2024-08-18,
SUB-0274,CUST-0274,Basic,29,Active,2024-01-17,
SUB-0275,CUST-0275,Pro,99,Active,2024-12-27,
SUB-0276,CUST-0276,Pro,99,Active,2024-02-06,
SUB-0277,CUST-0277,Pro,99,Cancelled,2025-02-07,2025-07-07
SUB-0278,CUST-0278,Basic,29,Active,2024-02-28,
SUB-0279,CUST-0279,Enterprise,299,Active,2025-04-10,
SUB-0280,CUST-0280,Basic,29,Active,2024-02-06,
SUB-0281,CUST-0281,Enterprise,299,Cancelled,2025-02-09,2025-09-07
SUB-0282,CUST-0282,Basic,29,Active,2024-08-12,
SUB-0283,CUST-0283,Basic,29,Active,2024-12-18,
SUB-0284,CUST-0284,Basic,29,Cancelled,2025-04-27,2025-08-25
SUB-0285,CUST-0285,Basic,29,Active,2024-08-12,
SUB-0286,CUST-0286,Basic,29,Active,2025-03-31,
SUB-0287,CUST-0287,Basic,29,Cancelled,2024-11-05,2025-10-31
SUB-0288,CUST-0288,Basic,29,Active,2024-02-16,
SUB-0289,CUST-0289,Enterprise,299,Active,2025-01-26,
SUB-0290,CUST-0290,Pro,99,Cancelled,2025-01-25,2025-03-26
SUB-0291,CUST-0291,Pro,99,Cancelled,2024-09-22,2025-09-17
SUB-0292,CUST-0292,Basic,29,Cancelled,2024-04-02,2024-05-02
SUB-0293,CUST-0293,Pro,99,Active,2025-05-11,
SUB-0294,CUST-0294,Basic,29,Active,2024-06-27,
SUB-0295,CUST-0295,Enterprise,299,Active,2024-06-13,
SUB-0296,CUST-0296,Pro,99,Cancelled,2024-06-17,2024-11-14
SUB-0297,CUST-0297,Pro,99,Active,2024-05-27,
SUB-0298,CUST-0298,Basic,29,Active,2024-08-20,
SUB-0299,CUST-0299,Basic,29,Active,2024-05-09,
SUB-0300,CUST-0300,Basic,29,Active,2025-05-11,
SUB-0301,CUST-0301,Pro,99,Active,2024-12-02,
SUB-0302,CUST-0302,Basic,29,Cancelled,2024-01-28,2024-07-26
SUB-0303,CUST-0303,Pro,99,Cancelled,2024-11-14,2025-06-12
SUB-0304,CUST-0304,Basic,29,Active,2025-01-24,
SUB-0305,CUST-0305,Pro,99,Active,2024-05-16,
SUB-0306,CUST-0306,Basic,29,Active,2024-08-12,
SUB-0307,CUST-0307,Pro,99,Active,2024-01-15,
SUB-0308,CUST-0308,Pro,99,Active,2024-06-08,
SUB-0309,CUST-0309,Basic,29,Active,2024-02-17,
SUB-0310,CUST-0310,Basic,29,Active,2024-08-24,
SUB-0311,CUST-0311,Pro,99,Cancelled,2024-09-12,2025-07-09
SUB-0312,CUST-0312,Pro,99,Cancelled,2024-07-31,2025-07-26
SUB-0313,CUST-0313,Pro,99,Active,2024-05-04,
SUB-0314,CUST-0314,Basic,29,Cancelled,2024-07-15,2025-05-11
SUB-0315,CUST-0315,Basic,29,Active,2025-03-18,
SUB-0316,CUST-0316,Basic,29,Active,2025-01-30,
SUB-0317,CUST-0317,Basic,29,Cancelled,2025-04-23,2026-02-17
SUB-0318,CUST-0318,Basic,29,Active,2024-05-24,
SUB-0319,CUST-0319,Pro,99,Cancelled,2025-03-19,2026-02-12
SUB-0320,CUST-0320,Pro,99,Active,2024-10-02,
SUB-0321,CUST-0321,Basic,29,Active,2024-06-19,
SUB-0322,CUST-0322,Basic,29,Cancelled,2025-04-22,2025-11-18
SUB-0323,CUST-0323,Enterprise,299,Cancelled,2024-12-23,2025-08-20
SUB-0324,CUST-0324,Pro,99,Active,2024-04-29,
SUB-0325,CUST-0325,Basic,29,Active,2024-06-11,
SUB-0326,CUST-0326,Basic,29,Active,2024-07-16,
SUB-0327,CUST-0327,Basic,29,Active,2025-05-08,
SUB-0328,CUST-0328,Enterprise,299,Active,2024-09-14,
SUB-0329,CUST-0329,Basic,29,Active,2025-03-23,
SUB-0330,CUST-0330,Pro,99,Cancelled,2024-09-26,2025-01-24
SUB-0331,CUST-0331,Pro,99,Active,2025-01-04,
SUB-0332,CUST-0332,Basic,29,Cancelled,2025-03-21,2026-02-14
SUB-0333,CUST-0333,Basic,29,Cancelled,2024-08-28,2025-05-25
SUB-0334,CUST-0334,Basic,29,Active,2024-11-15,
SUB-0335,CUST-0335,Basic,29,Cancelled,2025-03-12,2025-10-08
SUB-0336,CUST-0336,Pro,99,Active,2025-05-03,
SUB-0337,CUST-0337,Basic,29,Active,2025-03-22,
SUB-0338,CUST-0338,Enterprise,299,Active,2024-04-30,
SUB-0339,CUST-0339,Basic,29,Cancelled,2025-01-17,2025-11-13
SUB-0340,CUST-0340,Basic,29,Active,2025-05-15,
SUB-0341,CUST-0341,Basic,29,Active,2024-08-15,
SUB-0342,CUST-0342,Basic,29,Active,2025-04-07,
SUB-0343,CUST-0343,Pro,99,Active,2024-06-15,
SUB-0344,CUST-0344,Basic,29,Cancelled,2024-07-02,2024-08-01
SUB-0345,CUST-0345,Pro,99,Active,2024-03-15,
SUB-0346,CUST-0346,Basic,29,Active,2024-10-16,
SUB-0347,CUST-0347,Pro,99,Active,2024-03-30,
SUB-0348,CUST-0348,Basic,29,Active,2024-11-13,
SUB-0349,CUST-0349,Pro,99,Active,2025-04-12,
SUB-0350,CUST-0350,Basic,29,Active,2024-08-24,
SUB-0351,CUST-0351,Pro,99,Active,2024-05-10,
SUB-0352,CUST-0352,Pro,99,Cancelled,2025-04-06,2025-05-06
SUB-0353,CUST-0353,Pro,99,Cancelled,2024-02-07,2024-04-07
SUB-0354,CUST-0354,Basic,29,Cancelled,2024-10-27,2025-05-25
SUB-0355,CUST-0355,Basic,29,Cancelled,2024-12-19,2025-01-18
SUB-0356,CUST-0356,Pro,99,Cancelled,2025-03-08,2026-03-03
SUB-0357,CUST-0357,Basic,29,Cancelled,2024-07-15,2025-02-10
SUB-0358,CUST-0358,Basic,29,Active,2024-05-01,
SUB-0359,CUST-0359,Pro,99,Cancelled,2024-10-21,2025-04-19
SUB-0360,CUST-0360,Basic,29,Active,2024-01-12,
SUB-0361,CUST-0361,Pro,99,Active,2024-01-05,
SUB-0362,CUST-0362,Basic,29,Active,2025-03-02,
SUB-0363,CUST-0363,Pro,99,Active,2024-11-06,
SUB-0364,CUST-0364,Basic,29,Cancelled,2024-11-21,2025-06-19
SUB-0365,CUST-0365,Pro,99,Active,2024-12-13,
SUB-0366,CUST-0366,Basic,29,Active,2025-04-07,
SUB-0367,CUST-0367,Pro,99,Cancelled,2025-02-07,2025-05-08
SUB-0368,CUST-0368,Enterprise,299,Active,2024-10-23,
SUB-0369,CUST-0369,Basic,29,Active,2024-02-16,
SUB-0370,CUST-0370,Basic,29,Active,2025-01-17,
SUB-0371,CUST-0371,Pro,99,Active,2024-04-12,
SUB-0372,CUST-0372,Pro,99,Cancelled,2024-09-28,2025-02-25
SUB-0373,CUST-0373,Basic,29,Active,2024-05-11,
SUB-0374,CUST-0374,Basic,29,Active,2025-01-17,
SUB-0375,CUST-0375,Pro,99,Active,2024-08-27,
SUB-0376,CUST-0376,Basic,29,Cancelled,2025-01-21,2025-05-21
SUB-0377,CUST-0377,Basic,29,Active,2025-05-10,
SUB-0378,CUST-0378,Pro,99,Active,2025-02-08,
SUB-0379,CUST-0379,Pro,99,Active,2024-05-15,
SUB-0380,CUST-0380,Pro,99,Cancelled,2024-07-07,2024-12-04
SUB-0381,CUST-0381,Basic,29,Active,2025-02-25,
SUB-0382,CUST-0382,Basic,29,Active,2024-12-11,
SUB-0383,CUST-0383,Pro,99,Active,2024-01-13,
SUB-0384,CUST-0384,Pro,99,Active,2024-11-27,
SUB-0385,CUST-0385,Pro,99,Active,2025-04-10,
SUB-0386,CUST-0386,Basic,29,Cancelled,2024-02-29,2024-05-29
SUB-0387,CUST-0387,Enterprise,299,Active,2025-04-29,
SUB-0388,CUST-0388,Basic,29,Active,2024-09-09,
SUB-0389,CUST-0389,Basic,29,Active,2024-04-30,
SUB-0390,CUST-0390,Basic,29,Active,2024-08-20,
SUB-0391,CUST-0391,Basic,29,Active,2024-10-27,
SUB-0392,CUST-0392,Basic,29,Active,2024-12-01,
SUB-0393,CUST-0393,Basic,29,Active,2024-11-11,
SUB-0394,CUST-0394,Pro,99,Active,2024-01-17,
SUB-0395,CUST-0395,Basic,29,Active,2024-08-15,
SUB-0396,CUST-0396,Pro,99,Active,2025-03-13,
SUB-0397,CUST-0397,Pro,99,Active,2024-12-17,
SUB-0398,CUST-0398,Basic,29,Active,2024-02-01,
SUB-0399,CUST-0399,Basic,29,Active,2024-04-07,
SUB-0400,CUST-0400,Enterprise,299,Active,2024-02-16,
SUB-0401,CUST-0401,Pro,99,Cancelled,2024-01-26,2024-02-25
SUB-0402,CUST-0402,Pro,99,Cancelled,2024-03-05,2024-06-03
SUB-0403,CUST-0403,Pro,99,Active,2025-02-28,
SUB-0404,CUST-0404,Basic,29,Cancelled,2025-02-20,2025-11-17
SUB-0405,CUST-0405,Basic,29,Active,2025-01-31,
SUB-0406,CUST-0406,Basic,29,Active,2024-05-21,
SUB-0407,CUST-0407,Basic,29,Active,2024-10-03,
SUB-0408,CUST-0408,Enterprise,299,Active,2024-02-26,
SUB-0409,CUST-0409,Basic,29,Active,2024-01-08,
SUB-0410,CUST-0410,Basic,29,Cancelled,2024-10-28,2024-12-27
