payment_id,customer_id,payment_date,amount,status
PAY-000072,CUST-0004,2025-06-10,99,Success
PAY-000073,CUST-0004,2025-07-10,99,Success
PAY-000074,CUST-0004,2025-08-09,99,Success
PAY-000075,CUST-0004,2025-09-08,99,Success
PAY-000076,CUST-0004,2025-10-08,99,Success
PAY-000077,CUST-0004,2025-11-07,99,Success
PAY-000078,CUST-0004,2025-12-07,99,Success
PAY-000079,CUST-0004,2026-01-06,99,Success
PAY-000080,CUST-0004,2026-02-05,99,Success
PAY-000081,CUST-0004,2026-03-07,99,Success
PAY-000082,CUST-0004,2026-04-06,99,Success
PAY-000083,CUST-0004,2026-05-06,99,Success
PAY-000084,CUST-0004,2026-06-05,99,Success
PAY-000085,CUST-0005,2024-01-17,99,Success
PAY-000086,CUST-0005,2024-02-16,99,Success
PAY-000087,CUST-0005,2024-03-17,99,Success
PAY-000088,CUST-0005,2024-04-16,99,Success
PAY-000089,CUST-0005,2024-05-16,99,Success
PAY-000090,CUST-0005,2024-06-15,99,Success
PAY-000091,CUST-0005,2024-07-15,99,Success
PAY-000092,CUST-0005,2024-08-14,99,Success
PAY-000093,CUST-0005,2024-09-13,99,Success
PAY-000094,CUST-0005,2024-10-13,99,Success
PAY-000095,CUST-0005,2024-11-12,99,Success
PAY-000096,CUST-0005,2024-12-12,99,Success
PAY-000097,CUST-0005,2025-01-11,99,Success
PAY-000098,CUST-0005,2025-02-10,99,Success
PAY-000099,CUST-0005,2025-03-12,99,Success
PAY-000100,CUST-0005,2025-04-11,99,Success
PAY-000101,CUST-0005,2025-05-11,99,Success
PAY-000102,CUST-0005,2025-06-10,99,Success
PAY-000103,CUST-0005,2025-07-10,99,Success
PAY-000104,CUST-0005,2025-08-09,99,Success
PAY-000105,CUST-0005,2025-09-08,99,Success
PAY-000106,CUST-0005,2025-10-08,99,Success
PAY-000107,CUST-0005,2025-11-07,99,Success
PAY-000108,CUST-0005,2025-12-07,99,Success
PAY-000109,CUST-0005,2026-01-06,99,Failed
PAY-000110,CUST-0005,2026-02-05,99,Success
PAY-000111,CUST-0005,2026-03-07,99,Success
PAY-000112,CUST-0005,2026-04-06,99,Success
PAY-000113,CUST-0005,2026-05-06,99,Success
PAY-000114,CUST-0005,2026-06-05,99,Success
PAY-000115,CUST-0006,2024-04-21,99,Success
PAY-000116,CUST-0006,2024-05-21,99,Success
PAY-000117,CUST-0006,2024-06-20,99,Success
PAY-000118,CUST-0006,2024-07-20,99,Success
PAY-000119,CUST-0006,2024-08-19,99,Success
PAY-000120,CUST-0006,2024-09-18,99,Success
PAY-000121,CUST-0006,2024-10-18,99,Success
PAY-000122,CUST-0006,2024-11-17,99,Success
PAY-000123,CUST-0006,2024-12-17,99,Success
PAY-000124,CUST-0006,2025-01-16,99,Success
PAY-000125,CUST-0006,2025-02-15,99,Success
PAY-000126,CUST-0006,2025-03-17,99,Success
PAY-000127,CUST-0006,2025-04-16,99,Success
PAY-000128,CUST-0006,2025-05-16,99,Success
PAY-000129,CUST-0006,2025-06-15,99,Success
PAY-000130,CUST-0006,2025-07-15,99,Success
PAY-000131,CUST-0006,2025-08-14,99,Success
PAY-000132,CUST-0006,2025-09-13,99,Success
PAY-000133,CUST-0006,2025-10-13,99,Success
PAY-000134,CUST-0006,2025-11-12,99,Success
PAY-000135,CUST-0006,2025-12-12,99,Success
PAY-000136,CUST-0006,2026-01-11,99,Success
PAY-000137,CUST-0006,2026-02-10,99,Success
PAY-000138,CUST-0006,2026-03-12,99,Success
PAY-000139,CUST-0006,2026-04-11,99,Success
PAY-000140,CUST-0006,2026-05-11,99,Success
PAY-000141,CUST-0006,2026-06-10,99,Success
PAY-000142,CUST-0007,2024-10-14,99,Success
PAY-000143,CUST-0007,2024-11-13,99,Failed
PAY-000144,CUST-0007,2024-12-13,99,Success
PAY-000145,CUST-0007,2025-01-12,99,Success
PAY-000146,CUST-0007,2025-02-11,99,Success
PAY-000147,CUST-0007,2025-03-13,99,Success
PAY-000148,CUST-0007,2025-04-12,99,Success
PAY-000149,CUST-0007,2025-05-12,99,Success
PAY-000150,CUST-0007,2025-06-11,99,Success
PAY-000151,CUST-0007,2025-07-11,99,Success
PAY-000152,CUST-0007,2025-08-10,99,Success
PAY-000153,CUST-0007,2025-09-09,99,Success
PAY-000154,CUST-0007,2025-10-09,99,Success
PAY-000155,CUST-0008,2024-04-22,29,Success
PAY-000156,CUST-0008,2024-05-22,29,Success
PAY-000157,CUST-0008,2024-06-21,29,Success
PAY-000158,CUST-0008,2024-07-21,29,Success
PAY-000159,CUST-0008,2024-08-20,29,Success
PAY-000160,CUST-0008,2024-09-19,29,Success
PAY-000161,CUST-0008,2024-10-19,29,Success
PAY-000162,CUST-0008,2024-11-18,29,Success
PAY-000163,CUST-0008,2024-12-18,29,Success
PAY-000164,CUST-0008,2025-01-17,29,Success
PAY-000165,CUST-0008,2025-02-16,29,Success
PAY-000166,CUST-0008,2025-03-18,29,Success
PAY-000167,CUST-0008,2025-04-17,29,Success
PAY-000168,CUST-0008,2025-05-17,29,Success
PAY-000169,CUST-0008,2025-06-16,29,Success
PAY-000170,CUST-0008,2025-07-16,29,Failed
PAY-000171,CUST-0008,2025-08-15,29,Success
PAY-000172,CUST-0008,2025-09-14,29,Failed
PAY-000173,CUST-0008,2025-10-14,29,Success
PAY-000174,CUST-0008,2025-11-13,29,Success
PAY-000175,CUST-0008,2025-12-13,29,Success
PAY-000176,CUST-0008,2026-01-12,29,Success
PAY-000177,CUST-0008,2026-02-11,29,Success
PAY-000178,CUST-0008,2026-03-13,29,Success
PAY-000179,CUST-0008,2026-04-12,29,Success
PAY-000180,CUST-0008,2026-05-12,29,Success
PAY-000181,CUST-0008,2026-06-11,29,Success
PAY-000182,CUST-0009,2025-02-18,29,Success
PAY-000183,CUST-0009,2025-03-20,29,Success
PAY-000184,CUST-0009,2025-04-19,29,Success
PAY-000185,CUST-0009,2025-05-19,29,Success
PAY-000186,CUST-0009,2025-06-18,29,Success
PAY-000187,CUST-0009,2025-07-18,29,Success
PAY-000188,CUST-0009,2025-08-17,29,Success
PAY-000189,CUST-0009,2025-09-16,29,Success
PAY-000190,CUST-0009,2025-10-16,29,Success
PAY-000191,CUST-0009,2025-11-15,29,Success
PAY-000192,CUST-0009,2025-12-15,29,Success
PAY-000193,CUST-0009,2026-01-14,29,Success
PAY-000194,CUST-0009,2026-02-13,29,Success
PAY-000195,CUST-0010,2024-12-23,29,Failed
PAY-000196,CUST-0010,2025-01-22,29,Success
PAY-000197,CUST-0010,2025-02-21,29,Success
PAY-000198,CUST-0010,2025-03-23,29,Success
PAY-000199,CUST-0010,2025-04-22,29,Success
PAY-000200,CUST-0010,2025-05-22,29,Success
PAY-000201,CUST-0010,2025-06-21,29,Success
PAY-000202,CUST-0010,2025-07-21,29,Success
PAY-000203,CUST-0010,2025-08-20,29,Success
PAY-000204,CUST-0011,2024-05-22,29,Success
PAY-000205,CUST-0011,2024-06-21,29,Success
PAY-000206,CUST-0011,2024-07-21,29,Failed
PAY-000207,CUST-0011,2024-08-20,29,Success
PAY-000208,CUST-0011,2024-09-19,29,Success
PAY-000209,CUST-0011,2024-10-19,29,Success
PAY-000210,CUST-0011,2024-11-18,29,Success
PAY-000211,CUST-0011,2024-12-18,29,Success
PAY-000212,CUST-0011,2025-01-17,29,Success
PAY-000213,CUST-0011,2025-02-16,29,Failed
PAY-000214,CUST-0011,2025-03-18,29,Success
PAY-000215,CUST-0011,2025-04-17,29,Success
PAY-000216,CUST-0011,2025-05-17,29,Success
PAY-000217,CUST-0011,2025-06-16,29,Success
PAY-000218,CUST-0011,2025-07-16,29,Success
PAY-000219,CUST-0011,2025-08-15,29,Success
PAY-000220,CUST-0011,2025-09-14,29,Success
PAY-000221,CUST-0011,2025-10-14,29,Success
PAY-000222,CUST-0011,2025-11-13,29,Success
PAY-000223,CUST-0011,2025-12-13,29,Success
PAY-000224,CUST-0011,2026-01-12,29,Success
PAY-000225,CUST-0011,2026-02-11,29,Success
PAY-000226,CUST-0011,2026-03-13,29,Success
PAY-000227,CUST-0011,2026-04-12,29,Success
PAY-000228,CUST-0011,2026-05-12,29,Success
PAY-000229,CUST-0011,2026-06-11,29,Success
PAY-000230,CUST-0012,2025-05-05,299,Success
PAY-000231,CUST-0012,2025-06-04,299,Success
PAY-000232,CUST-0012,2025-07-04,299,Success
PAY-000233,CUST-0013,2024-02-17,99,Success
PAY-000234,CUST-0013,2024-03-18,99,Success
PAY-000235,CUST-0013,2024-04-17,99,Success
PAY-000236,CUST-0013,2024-05-17,99,Success
PAY-000237,CUST-0013,2024-06-16,99,Success
PAY-000238,CUST-0013,2024-07-16,99,Success
PAY-000239,CUST-0013,2024-08-15,99,Success
PAY-000240,CUST-0013,2024-09-14,99,Success
PAY-000241,CUST-0013,2024-10-14,99,Success
PAY-000242,CUST-0013,2024-11-13,99,Success
PAY-000243,CUST-0013,2024-12-13,99,Success
PAY-000244,CUST-0013,2025-01-12,99,Success
PAY-000245,CUST-0014,2024-07-02,99,Success
PAY-000246,CUST-0014,2024-08-01,99,Success
PAY-000247,CUST-0014,2024-08-31,99,Success
PAY-000248,CUST-0014,2024-09-30,99,Success
PAY-000249,CUST-0015,2025-02-17,99,Success
PAY-000250,CUST-0015,2025-03-19,99,Success
PAY-000251,CUST-0015,2025-04-18,99,Success
PAY-000252,CUST-0015,2025-05-18,99,Success
PAY-000253,CUST-0015,2025-06-17,99,Success
PAY-000254,CUST-0015,2025-07-17,99,Success
PAY-000255,CUST-0015,2025-08-16,99,Success
PAY-000256,CUST-0015,2025-09-15,99,Success
PAY-000257,CUST-0015,2025-10-15,99,Success
PAY-000258,CUST-0015,2025-11-14,99,Success
PAY-000259,CUST-0015,2025-12-14,99,Success
PAY-000260,CUST-0015,2026-01-13,99,Success
PAY-000261,CUST-0015,2026-02-12,99,Success
PAY-000262,CUST-0015,2026-03-14,99,Success
PAY-000263,CUST-0015,2026-04-13,99,Success
PAY-000264,CUST-0015,2026-05-13,99,Success
PAY-000265,CUST-0015,2026-06-12,99,Success
PAY-000266,CUST-0016,2024-10-01,299,Success
PAY-000267,CUST-0016,2024-10-31,299,Success
PAY-000268,CUST-0016,2024-11-30,299,Success
PAY-000269,CUST-0016,2024-12-30,299,Success
PAY-000270,CUST-0016,2025-01-29,299,Success
PAY-000271,CUST-0016,2025-02-28,299,Success
PAY-000272,CUST-0016,2025-03-30,299,Success
PAY-000273,CUST-0016,2025-04-29,299,Success
PAY-000274,CUST-0016,2025-05-29,299,Success
PAY-000275,CUST-0016,2025-06-28,299,Success
PAY-000276,CUST-0016,2025-07-28,299,Success
PAY-000277,CUST-0016,2025-08-27,299,Success
PAY-000278,CUST-0016,2025-09-26,299,Success
PAY-000279,CUST-0016,2025-10-26,299,Success
PAY-000280,CUST-0016,2025-11-25,299,Success
PAY-000281,CUST-0016,2025-12-25,299,Success
PAY-000282,CUST-0016,2026-01-24,299,Success
PAY-000283,CUST-0016,2026-02-23,299,Success
PAY-000284,CUST-0016,2026-03-25,299,Success
PAY-000285,CUST-0016,2026-04-24,299,Success
PAY-000286,CUST-0016,2026-05-24,299,Success
PAY-000287,CUST-0016,2026-06-23,299,Success
PAY-000288,CUST-0017,2024-02-10,99,Success
PAY-000289,CUST-0017,2024-03-11,99,Success
PAY-000290,CUST-0017,2024-04-10,99,Success
PAY-000291,CUST-0017,2024-05-10,99,Success
PAY-000292,CUST-0017,2024-06-09,99,Success
PAY-000293,CUST-0017,2024-07-09,99,Success
PAY-000294,CUST-0017,2024-08-08,99,Success
PAY-000295,CUST-0017,2024-09-07,99,Success
PAY-000296,CUST-0017,2024-10-07,99,Success
PAY-000297,CUST-0017,2024-11-06,99,Success
PAY-000298,CUST-0017,2024-12-06,99,Success
PAY-000299,CUST-0017,2025-01-05,99,Success
PAY-000300,CUST-0017,2025-02-04,99,Success
PAY-000301,CUST-0017,2025-03-06,99,Success
PAY-000302,CUST-0017,2025-04-05,99,Success
PAY-000303,CUST-0017,2025-05-05,99,Success
PAY-000304,CUST-0017,2025-06-04,99,Success
PAY-000305,CUST-0017,2025-07-04,99,Success
PAY-000306,CUST-0017,2025-08-03,99,Success
PAY-000307,CUST-0017,2025-09-02,99,Success
PAY-000308,CUST-0017,2025-10-02,99,Success
PAY-000309,CUST-0017,2025-11-01,99,Success
PAY-000310,CUST-0017,2025-12-01,99,Success
PAY-000311,CUST-0017,2025-12-31,99,Success
PAY-000312,CUST-0017,2026-01-30,99,Success
PAY-000313,CUST-0017,2026-03-01,99,Success
PAY-000314,CUST-0017,2026-03-31,99,Success
PAY-000315,CUST-0017,2026-04-30,99,Success
PAY-000316,CUST-0017,2026-05-30,99,Failed
PAY-000317,CUST-0017,2026-06-29,99,Success
PAY-000318,CUST-0018,2024-10-22,99,Success
PAY-000319,CUST-0018,2024-11-21,99,Success
PAY-000320,CUST-0018,2024-12-21,99,Success
PAY-000321,CUST-0018,2025-01-20,99,Success
PAY-000322,CUST-0018,2025-02-19,99,Success
PAY-000323,CUST-0018,2025-03-21,99,Failed
PAY-000324,CUST-0018,2025-04-20,99,Success
PAY-000325,CUST-0018,2025-05-20,99,Failed
PAY-000326,CUST-0018,2025-06-19,99,Success
PAY-000327,CUST-0018,2025-07-19,99,Success
PAY-000328,CUST-0018,2025-08-18,99,Success
PAY-000329,CUST-0018,2025-09-17,99,Success
PAY-000330,CUST-0018,2025-10-17,99,Success
PAY-000331,CUST-0018,2025-11-16,99,Success
PAY-000332,CUST-0018,2025-12-16,99,Success
PAY-000333,CUST-0018,2026-01-15,99,Success
PAY-000334,CUST-0018,2026-02-14,99,Success
PAY-000335,CUST-0018,2026-03-16,99,Success
PAY-000336,CUST-0018,2026-04-15,99,Success
PAY-000337,CUST-0018,2026-05-15,99,Success
PAY-000338,CUST-0018,2026-06-14,99,Success
PAY-000339,CUST-0019,2024-01-24,99,Success
PAY-000340,CUST-0019,2024-02-23,99,Success
PAY-000341,CUST-0019,2024-03-24,99,Success
PAY-000342,CUST-0019,2024-04-23,99,Success
PAY-000343,CUST-0019,2024-05-23,99,Success
PAY-000344,CUST-0019,2024-06-22,99,Success
PAY-000345,CUST-0019,2024-07-22,99,Success
PAY-000346,CUST-0019,2024-08-21,99,Success
PAY-000347,CUST-0019,2024-09-20,99,Success
PAY-000348,CUST-0019,2024-10-20,99,Success
PAY-000349,CUST-0019,2024-11-19,99,Success
PAY-000350,CUST-0019,2024-12-19,99,Success
PAY-000351,CUST-0019,2025-01-18,99,Success
PAY-000352,CUST-0019,2025-02-17,99,Success
PAY-000353,CUST-0019,2025-03-19,99,Success
PAY-000354,CUST-0019,2025-04-18,99,Success
PAY-000355,CUST-0019,2025-05-18,99,Success
PAY-000356,CUST-0019,2025-06-17,99,Success
PAY-000357,CUST-0019,2025-07-17,99,Success
PAY-000358,CUST-0019,2025-08-16,99,Success
PAY-000359,CUST-0019,2025-09-15,99,Success
PAY-000360,CUST-0019,2025-10-15,99,Success
PAY-000361,CUST-0019,2025-11-14,99,Success
PAY-000362,CUST-0019,2025-12-14,99,Success
PAY-000363,CUST-0019,2026-01-13,99,Failed
PAY-000364,CUST-0019,2026-02-12,99,Success
PAY-000365,CUST-0019,2026-03-14,99,Success
PAY-000366,CUST-0019,2026-04-13,99,Success
PAY-000367,CUST-0019,2026-05-13,99,Success
PAY-000368,CUST-0019,2026-06-12,99,Success
PAY-000369,CUST-0020,2024-02-10,29,Success
PAY-000370,CUST-0020,2024-03-11,29,Success
PAY-000371,CUST-0020,2024-04-10,29,Success
PAY-000372,CUST-0020,2024-05-10,29,Success
PAY-000373,CUST-0020,2024-06-09,29,Success
PAY-000374,CUST-0020,2024-07-09,29,Success
PAY-000375,CUST-0020,2024-08-08,29,Success
PAY-000376,CUST-0020,2024-09-07,29,Success
PAY-000377,CUST-0020,2024-10-07,29,Success
PAY-000378,CUST-0020,2024-11-06,29,Success
PAY-000379,CUST-0020,2024-12-06,29,Success
PAY-000380,CUST-0020,2025-01-05,29,Success
PAY-000381,CUST-0020,2025-02-04,29,Success
PAY-000382,CUST-0020,2025-03-06,29,Success
PAY-000383,CUST-0020,2025-04-05,29,Success
PAY-000384,CUST-0020,2025-05-05,29,Success
PAY-000385,CUST-0020,2025-06-04,29,Success
PAY-000386,CUST-0020,2025-07-04,29,Success
PAY-000387,CUST-0020,2025-08-03,29,Success
PAY-000388,CUST-0020,2025-09-02,29,Success
PAY-000389,CUST-0020,2025-10-02,29,Success
PAY-000390,CUST-0020,2025-11-01,29,Success
PAY-000391,CUST-0020,2025-12-01,29,Success
PAY-000392,CUST-0020,2025-12-31,29,Success
PAY-000393,CUST-0020,2026-01-30,29,Success
PAY-000394,CUST-0020,2026-03-01,29,Success
PAY-000395,CUST-0020,2026-03-31,29,Success
PAY-000396,CUST-0020,2026-04-30,29,Success
PAY-000397,CUST-0020,2026-05-30,29,Success
PAY-000398,CUST-0020,2026-06-29,29,Success
PAY-000399,CUST-0021,2024-07-13,29,Success
PAY-000400,CUST-0021,2024-08-12,29,Success
PAY-000401,CUST-0021,2024-09-11,29,Success
PAY-000402,CUST-0021,2024-10-11,29,Success
PAY-000403,CUST-0021,2024-11-10,29,Success
PAY-000404,CUST-0021,2024-12-10,29,Success
PAY-000405,CUST-0021,2025-01-09,29,Success
PAY-000406,CUST-0021,2025-02-08,29,Success
PAY-000407,CUST-0021,2025-03-10,29,Success
PAY-000408,CUST-0021,2025-04-09,29,Success
PAY-000409,CUST-0021,2025-05-09,29,Success
PAY-000410,CUST-0021,2025-06-08,29,Success
PAY-000411,CUST-0021,2025-07-08,29,Success
PAY-000412,CUST-0022,2024-11-21,29,Success
PAY-000413,CUST-0022,2024-12-21,29,Success
PAY-000414,CUST-0022,2025-01-20,29,Success
PAY-000415,CUST-0022,2025-02-19,29,Success
PAY-000416,CUST-0022,2025-03-21,29,Success
PAY-000417,CUST-0022,2025-04-20,29,Success
PAY-000418,CUST-0022,2025-05-20,29,Success
PAY-000419,CUST-0022,2025-06-19,29,Success
PAY-000420,CUST-0022,2025-07-19,29,Success
PAY-000421,CUST-0022,2025-08-18,29,Success
PAY-000422,CUST-0022,2025-09-17,29,Success
PAY-000423,CUST-0022,2025-10-17,29,Success
PAY-000424,CUST-0022,2025-11-16,29,Failed
PAY-000425,CUST-0022,2025-12-16,29,Success
PAY-000426,CUST-0022,2026-01-15,29,Success
PAY-000427,CUST-0022,2026-02-14,29,Success
PAY-000428,CUST-0022,2026-03-16,29,Success
PAY-000429,CUST-0022,2026-04-15,29,Success
PAY-000430,CUST-0022,2026-05-15,29,Success
PAY-000431,CUST-0022,2026-06-14,29,Success
PAY-000432,CUST-0023,2024-07-08,29,Success
PAY-000433,CUST-0023,2024-08-07,29,Success
PAY-000434,CUST-0023,2024-09-06,29,Success
PAY-000435,CUST-0023,2024-10-06,29,Success
PAY-000436,CUST-0023,2024-11-05,29,Success
PAY-000437,CUST-0023,2024-12-05,29,Success
PAY-000438,CUST-0023,2025-01-04,29,Success
PAY-000439,CUST-0023,2025-02-03,29,Success
PAY-000440,CUST-0023,2025-03-05,29,Success
PAY-000441,CUST-0023,2025-04-04,29,Success
PAY-000442,CUST-0023,2025-05-04,29,Success
PAY-000443,CUST-0023,2025-06-03,29,Success
PAY-000444,CUST-0023,2025-07-03,29,Success
PAY-000445,CUST-0023,2025-08-02,29,Success
PAY-000446,CUST-0023,2025-09-01,29,Success
PAY-000447,CUST-0023,2025-10-01,29,Success
PAY-000448,CUST-0023,2025-10-31,29,Success
PAY-000449,CUST-0023,2025-11-30,29,Success
PAY-000450,CUST-0023,2025-12-30,29,Success
PAY-000451,CUST-0023,2026-01-29,29,Success
PAY-000452,CUST-0023,2026-02-28,29,Success
PAY-000453,CUST-0023,2026-03-30,29,Success
PAY-000454,CUST-0023,2026-04-29,29,Success
PAY-000455,CUST-0023,2026-05-29,29,Success
PAY-000456,CUST-0023,2026-06-28,29,Success
PAY-000457,CUST-0024,2024-12-09,29,Success
PAY-000458,CUST-0024,2025-01-08,29,Success
PAY-000459,CUST-0024,2025-02-07,29,Success
PAY-000460,CUST-0024,2025-03-09,29,Success
PAY-000461,CUST-0024,2025-04-08,29,Success
PAY-000462,CUST-0024,2025-05-08,29,Success
PAY-000463,CUST-0024,2025-06-07,29,Success
PAY-000464,CUST-0024,2025-07-07,29,Success
PAY-000465,CUST-0024,2025-08-06,29,Success
PAY-000466,CUST-0024,2025-09-05,29,Success
PAY-000467,CUST-0024,2025-10-05,29,Failed
PAY-000468,CUST-0024,2025-11-04,29,Success
PAY-000469,CUST-0024,2025-12-04,29,Success
PAY-000470,CUST-0025,2024-11-07,99,Success
PAY-000471,CUST-0025,2024-12-07,99,Success
PAY-000472,CUST-0025,2025-01-06,99,Success
PAY-000473,CUST-0025,2025-02-05,99,Success
PAY-000474,CUST-0025,2025-03-07,99,Success
PAY-000475,CUST-0025,2025-04-06,99,Success
PAY-000476,CUST-0025,2025-05-06,99,Success
PAY-000477,CUST-0025,2025-06-05,99,Success
PAY-000478,CUST-0025,2025-07-05,99,Success
PAY-000479,CUST-0025,2025-08-04,99,Success
PAY-000480,CUST-0025,2025-09-03,99,Success
PAY-000481,CUST-0025,2025-10-03,99,Success
PAY-000482,CUST-0025,2025-11-02,99,Success
PAY-000483,CUST-0025,2025-12-02,99,Success
PAY-000484,CUST-0025,2026-01-01,99,Success
PAY-000485,CUST-0025,2026-01-31,99,Success
PAY-000486,CUST-0025,2026-03-02,99,Success
PAY-000487,CUST-0025,2026-04-01,99,Success
PAY-000488,CUST-0025,2026-05-01,99,Success
PAY-000489,CUST-0025,2026-05-31,99,Success
PAY-000490,CUST-0025,2026-06-30,99,Success
PAY-000491,CUST-0026,2024-03-24,99,Success
PAY-000492,CUST-0026,2024-04-23,99,Success
PAY-000493,CUST-0026,2024-05-23,99,Success
PAY-000494,CUST-0026,2024-06-22,99,Success
PAY-000495,CUST-0026,2024-07-22,99,Success
PAY-000496,CUST-0026,2024-08-21,99,Success
PAY-000497,CUST-0026,2024-09-20,99,Success
PAY-000498,CUST-0026,2024-10-20,99,Success
PAY-000499,CUST-0026,2024-11-19,99,Success
PAY-000500,CUST-0026,2024-12-19,99,Success
PAY-000501,CUST-0026,2025-01-18,99,Success
PAY-000502,CUST-0026,2025-02-17,99,Success
PAY-000503,CUST-0027,2024-05-18,29,Success
PAY-000504,CUST-0027,2024-06-17,29,Success
PAY-000505,CUST-0027,2024-07-17,29,Success
PAY-000506,CUST-0027,2024-08-16,29,Success
PAY-000507,CUST-0027,2024-09-15,29,Success
PAY-000508,CUST-0027,2024-10-15,29,Success
PAY-000509,CUST-0027,2024-11-14,29,Success
PAY-000510,CUST-0027,2024-12-14,29,Success
PAY-000511,CUST-0027,2025-01-13,29,Success
PAY-000512,CUST-0027,2025-02-12,29,Success
PAY-000513,CUST-0027,2025-03-14,29,Success
PAY-000514,CUST-0027,2025-04-13,29,Success
PAY-000515,CUST-0027,2025-05-13,29,Success
PAY-000516,CUST-0028,2025-03-07,29,Success
PAY-000517,CUST-0028,2025-04-06,29,Success
PAY-000518,CUST-0028,2025-05-06,29,Success
PAY-000519,CUST-0028,2025-06-05,29,Success
PAY-000520,CUST-0028,2025-07-05,29,Success
PAY-000521,CUST-0028,2025-08-04,29,Success
PAY-000522,CUST-0028,2025-09-03,29,Success
PAY-000523,CUST-0028,2025-10-03,29,Success
PAY-000524,CUST-0028,2025-11-02,29,Success
PAY-000525,CUST-0028,2025-12-02,29,Success
PAY-000526,CUST-0028,2026-01-01,29,Success
PAY-000527,CUST-0028,2026-01-31,29,Success
PAY-000528,CUST-0028,2026-03-02,29,Success
PAY-000529,CUST-0028,2026-04-01,29,Failed
PAY-000530,CUST-0028,2026-05-01,29,Success
PAY-000531,CUST-0028,2026-05-31,29,Success
PAY-000532,CUST-0028,2026-06-30,29,Success
PAY-000533,CUST-0029,2025-02-24,29,Success
PAY-000534,CUST-0029,2025-03-26,29,Success
PAY-000535,CUST-0029,2025-04-25,29,Success
PAY-000536,CUST-0029,2025-05-25,29,Success
